Repos,Dependent,data.repository.databaseId,data.repository.url,data.repository.name,data.repository.owner.login,data.repository.stargazerCount,data.repository.watchers.totalCount,data.repository.releases.nodes,data.repository.primaryLanguage.name,data.repository.languages.nodes,data.repository.forkCount,data.repository.isFork,data.repository.parent,data.repository.licenseInfo,data.repository.vulnerabilityAlerts.totalCount,data.repository.vulnerabilityAlerts.nodes,data.repository.licenseInfo.spdxId,data.repository.primaryLanguage
bootstrap-styled/v4,CoderRCAman/employemanagement-frontend,352707593,https://github.com/CoderRCAman/employemanagement-frontend,employemanagement-frontend,CoderRCAman,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,philiplehmann/cv,352411367,https://github.com/philiplehmann/cv,cv,philiplehmann,0,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,bradur/film-recommender-frontend,351149454,https://github.com/bradur/film-recommender-frontend,film-recommender-frontend,bradur,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,SimonThormeyer/iterative-lexical-item-approximation,349720757,https://github.com/SimonThormeyer/iterative-lexical-item-approximation,iterative-lexical-item-approximation,SimonThormeyer,0,1,[],Python,"[{'name': 'Python'}, {'name': 'TypeScript'}, {'name': 'HTML'}, {'name': 'Dockerfile'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,mojaouhari/gatsby-example,345230727,https://github.com/mojaouhari/gatsby-example,gatsby-example,mojaouhari,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'TypeScript'}]",0,False,,,0,[],0BSD,
bootstrap-styled/v4,RafaelEstevam/dados-estatisticos-eleicao-2020-front,345374475,https://github.com/RafaelEstevam/dados-estatisticos-eleicao-2020-front,dados-estatisticos-eleicao-2020-front,RafaelEstevam,1,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,LINOSNCHENA/JAVA-Microservices-in-SpringBoot-and-Angular,240251899,https://github.com/LINOSNCHENA/JAVA-Microservices-in-SpringBoot-and-Angular,JAVA-Microservices-in-SpringBoot-and-Angular,LINOSNCHENA,0,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'Java'}, {'name': 'TSQL'}, {'name': 'CSS'}, {'name': 'Shell'}]",0,False,,,0,[],,
bootstrap-styled/v4,laurentdevparitel/twitter-react,339059767,https://github.com/laurentdevparitel/twitter-react,twitter-react,laurentdevparitel,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}, {'name': 'Shell'}]",0,False,,,0,[],,
bootstrap-styled/v4,flipmotion/opera-test,338918659,https://github.com/flipmotion/opera-test,opera-test,flipmotion,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,devepro/Finder-React-App,338143921,https://github.com/devepro/Finder-React-App,Finder-React-App,devepro,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,SimonOneNineEight/website,333704833,https://github.com/SimonOneNineEight/website,website,SimonOneNineEight,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,jomuji/frontity-fringales2,333460018,https://github.com/jomuji/frontity-fringales2,frontity-fringales2,jomuji,0,1,[],HTML,"[{'name': 'HTML'}, {'name': 'JavaScript'}, {'name': 'TypeScript'}]",0,False,,,0,[],,
bootstrap-styled/v4,901david/candystreatshop,330465134,https://github.com/901david/candystreatshop,candystreatshop,901david,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,901david/react-template-recoil,330467342,https://github.com/901david/react-template-recoil,react-template-recoil,901david,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,Vovannbc/crud-instance-example,230259227,https://github.com/Vovannbc/crud-instance-example,crud-instance-example,Vovannbc,0,2,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,robsonmrsp/ecommerce,327472111,https://github.com/robsonmrsp/ecommerce,ecommerce,robsonmrsp,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,901david/use-mapped-state,217912618,https://github.com/901david/use-mapped-state,use-mapped-state,901david,0,1,[],HTML,"[{'name': 'HTML'}, {'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'TypeScript'}, {'name': 'Shell'}]",0,False,,,0,[],,
bootstrap-styled/v4,LuckyOne3/pizza-shop,325732895,https://github.com/LuckyOne3/pizza-shop,pizza-shop,LuckyOne3,0,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'HTML'}, {'name': 'CSS'}, {'name': 'Shell'}]",0,False,,,0,[],,
bootstrap-styled/v4,shapaaa/yelp-client,324524930,https://github.com/shapaaa/yelp-client,yelp-client,shapaaa,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,ErykGaszczyk/spinbits-2,323993085,https://github.com/ErykGaszczyk/spinbits-2,spinbits-2,ErykGaszczyk,0,2,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'Shell'}, {'name': 'Dockerfile'}]",0,False,,,0,[],,
bootstrap-styled/v4,hchev001/stsite,321572560,https://github.com/hchev001/stsite,stsite,hchev001,0,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'Java'}, {'name': 'JavaScript'}]",0,False,,,0,[],0BSD,
bootstrap-styled/v4,Saifrazaa/gastrofy-testtask,319030560,https://github.com/Saifrazaa/gastrofy-testtask,gastrofy-testtask,Saifrazaa,0,1,[],HTML,"[{'name': 'HTML'}, {'name': 'JavaScript'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,SanjayTml/ink-electron,220741250,https://github.com/SanjayTml/ink-electron,ink-electron,SanjayTml,0,0,[],JavaScript,[{'name': 'JavaScript'}],4,False,,,0,[],,
bootstrap-styled/v4,7ynal/7okyo,314704844,https://github.com/7ynal/7okyo,7okyo,7ynal,0,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,ikrik/List-of-React-Repositories,315292129,https://github.com/ikrik/List-of-React-Repositories,List-of-React-Repositories,ikrik,0,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,RafaelEstevam/dados-estatisticos-gerais-eleicao-2020,309455139,https://github.com/RafaelEstevam/dados-estatisticos-gerais-eleicao-2020,dados-estatisticos-gerais-eleicao-2020,RafaelEstevam,9,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'Python'}, {'name': 'HTML'}]",6,False,,,0,[],,
bootstrap-styled/v4,quasare/devsource-frontend,312185079,https://github.com/quasare/devsource-frontend,devsource-frontend,quasare,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,mbifulco/lazy-shop-netlifycms-snipcart,186876696,https://github.com/mbifulco/lazy-shop-netlifycms-snipcart,lazy-shop-netlifycms-snipcart,mbifulco,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,yeutech-lab/rollup-umd-documentation,138320446,https://github.com/yeutech-lab/rollup-umd-documentation,rollup-umd-documentation,yeutech-lab,4,5,"[{'tagName': 'v2.4.7', 'author': {'login': 'kopax', 'databaseId': 1866564}, 'createdAt': '2018-12-05T03:58:11Z', 'publishedAt': '2018-12-05T03:59:28Z', 'updatedAt': '2018-12-05T03:59:28Z', 'isLatest': True}]",JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'Shell'}]",0,False,,,0,[],,
bootstrap-styled/v4,javierh2k/react-avanzado-storybook,247214700,https://github.com/javierh2k/react-avanzado-storybook,react-avanzado-storybook,javierh2k,5,1,[],JavaScript,[{'name': 'JavaScript'}],2,False,,,0,[],,
bootstrap-styled/v4,Sienkiewicz/tetris_project,307965657,https://github.com/Sienkiewicz/tetris_project,tetris_project,Sienkiewicz,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,eugeniol/rc3-components,306103115,https://github.com/eugeniol/rc3-components,rc3-components,eugeniol,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,juan-sierra/ZeniusCorp,168003197,https://github.com/juan-sierra/ZeniusCorp,ZeniusCorp,juan-sierra,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,milken-institute/FreshDrupalMI,225477522,https://github.com/milken-institute/FreshDrupalMI,FreshDrupalMI,milken-institute,1,4,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'PHP'}, {'name': 'Twig'}, {'name': 'SCSS'}, {'name': 'Shell'}, {'name': 'JavaScript'}, {'name': 'Gherkin'}, {'name': 'Perl'}, {'name': 'Raku'}]",2,False,,,0,[],,
bootstrap-styled/v4,Piyush-Zalani/my_profile,301002117,https://github.com/Piyush-Zalani/my_profile,my_profile,Piyush-Zalani,0,1,[],JavaScript,[{'name': 'JavaScript'}],0,False,,,0,[],0BSD,
bootstrap-styled/v4,vanvemden/rbp-messages,300082216,https://github.com/vanvemden/rbp-messages,rbp-messages,vanvemden,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'Handlebars'}, {'name': 'HTML'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,jdiego/sarapage,298872176,https://github.com/jdiego/sarapage,sarapage,jdiego,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,Hugo-NF/Air-Job-Manager,299412191,https://github.com/Hugo-NF/Air-Job-Manager,Air-Job-Manager,Hugo-NF,0,2,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'TypeScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,mattrdunn/BookWorms,297734484,https://github.com/mattrdunn/BookWorms,BookWorms,mattrdunn,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}, {'name': 'Dockerfile'}]",0,False,,,0,[],,
bootstrap-styled/v4,RafaelEstevam/narutoHelpDesk,296760307,https://github.com/RafaelEstevam/narutoHelpDesk,narutoHelpDesk,RafaelEstevam,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,karljansson91/mallar,268592336,https://github.com/karljansson91/mallar,mallar,karljansson91,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'Makefile'}, {'name': 'CSS'}, {'name': 'Dockerfile'}, {'name': 'Shell'}]",0,False,,,0,[],,
bootstrap-styled/v4,dscrait/dscrait.tech,291707142,https://github.com/dscrait/dscrait.tech,dscrait.tech,dscrait,2,2,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}]",20,False,,,0,[],,
bootstrap-styled/v4,workout-log/front-end,281819478,https://github.com/workout-log/front-end,front-end,workout-log,3,0,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,frontity-demos/frontity-examples,276852052,https://github.com/frontity-demos/frontity-examples,frontity-examples,frontity-demos,4,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'TypeScript'}]",2,False,,,0,[],,
bootstrap-styled/v4,davidcordeiro5/marketplace_gnivilok,287561163,https://github.com/davidcordeiro5/marketplace_gnivilok,marketplace_gnivilok,davidcordeiro5,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,sra1rdy/react-symfony-cookie-bakery,287367996,https://github.com/sra1rdy/react-symfony-cookie-bakery,react-symfony-cookie-bakery,sra1rdy,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'PHP'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,blewin1/Mastermind-Frontend,286586328,https://github.com/blewin1/Mastermind-Frontend,Mastermind-Frontend,blewin1,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,dannegm/carouiux,286873826,https://github.com/dannegm/carouiux,carouiux,dannegm,1,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,odmf9009/chat-boxitas-next.js,282911645,https://github.com/odmf9009/chat-boxitas-next.js,chat-boxitas-next.js,odmf9009,0,0,[],JavaScript,[{'name': 'JavaScript'}],0,False,,,0,[],,
bootstrap-styled/v4,frontity-demos/2020-08-webDevStudios-lunchLearn-workshop,278619305,https://github.com/frontity-demos/2020-08-webDevStudios-lunchLearn-workshop,2020-08-webDevStudios-lunchLearn-workshop,frontity-demos,3,2,[],JavaScript,[{'name': 'JavaScript'}],0,False,,,0,[],,
bootstrap-styled/v4,asteffey/fcc-markdown-previewer,280029564,https://github.com/asteffey/fcc-markdown-previewer,fcc-markdown-previewer,asteffey,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,spakkrishnakumar/Dflux-TagsInput,279499480,https://github.com/spakkrishnakumar/Dflux-TagsInput,Dflux-TagsInput,spakkrishnakumar,0,0,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,Jrive204/front-end-med-cab,245033320,https://github.com/Jrive204/front-end-med-cab,front-end-med-cab,Jrive204,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,jhburns/ExperienceCapture,210228546,https://github.com/jhburns/ExperienceCapture,ExperienceCapture,jhburns,0,1,"[{'tagName': 'server.1.3.0', 'author': {'login': 'jhburns', 'databaseId': 32970933}, 'createdAt': '2020-10-19T01:30:38Z', 'publishedAt': '2020-10-19T01:33:00Z', 'updatedAt': '2020-10-19T01:33:00Z', 'isLatest': True}]",C#,"[{'name': 'C#'}, {'name': 'JavaScript'}, {'name': 'Dockerfile'}, {'name': 'Shell'}, {'name': 'HTML'}, {'name': 'Python'}, {'name': 'Handlebars'}, {'name': 'R'}, {'name': 'CSS'}, {'name': 'Ruby'}]",0,False,,,0,[],Apache-2.0,
bootstrap-styled/v4,rizooooo/portfolio-app,276341427,https://github.com/rizooooo/portfolio-app,portfolio-app,rizooooo,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,marcelotk15/border-radius-preview,276164950,https://github.com/marcelotk15/border-radius-preview,border-radius-preview,marcelotk15,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,Designer023/demo-styled-bsv4,276095649,https://github.com/Designer023/demo-styled-bsv4,demo-styled-bsv4,Designer023,0,2,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'TypeScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,marcelotk15/bin-2-dec,275970764,https://github.com/marcelotk15/bin-2-dec,bin-2-dec,marcelotk15,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,tecrajesh/Assignment,92821039,https://github.com/tecrajesh/Assignment,Assignment,tecrajesh,1,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,leoman/travelling-blog,275220765,https://github.com/leoman/travelling-blog,travelling-blog,leoman,0,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'HTML'}, {'name': 'CSS'}, {'name': 'JavaScript'}]",0,False,,,0,[],,
bootstrap-styled/v4,woochanleee/workout-log,264791205,https://github.com/woochanleee/workout-log,workout-log,woochanleee,1,0,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'HTML'}, {'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'Dockerfile'}]",0,False,,,0,[],GPL-3.0,
bootstrap-styled/v4,psspqssq/acnh-collection-album,268989848,https://github.com/psspqssq/acnh-collection-album,acnh-collection-album,psspqssq,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,luiswouters/responsive-react-styled-components,269454478,https://github.com/luiswouters/responsive-react-styled-components,responsive-react-styled-components,luiswouters,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,UIwarrior/JavascriptDocumentaionApp,268980554,https://github.com/UIwarrior/JavascriptDocumentaionApp,JavascriptDocumentaionApp,UIwarrior,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}, {'name': 'TypeScript'}]",0,False,,,0,[],,
bootstrap-styled/v4,Shadoukun/MissCleo,96466505,https://github.com/Shadoukun/MissCleo,MissCleo,Shadoukun,1,1,[],Python,"[{'name': 'Python'}, {'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'Mako'}]",0,False,,,0,[],,
bootstrap-styled/v4,DanMMX/github-repos,268205440,https://github.com/DanMMX/github-repos,github-repos,DanMMX,0,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,TopBiketoursPortugal/TopBikeToursPortugal,267967376,https://github.com/TopBiketoursPortugal/TopBikeToursPortugal,TopBikeToursPortugal,TopBiketoursPortugal,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}, {'name': 'TypeScript'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,NOBLEGG/RPS,266920762,https://github.com/NOBLEGG/RPS,RPS,NOBLEGG,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'Python'}, {'name': 'HTML'}]",0,False,,,0,[],NOASSERTION,
bootstrap-styled/v4,BrightonDube/VRHeaven,265560871,https://github.com/BrightonDube/VRHeaven,VRHeaven,BrightonDube,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,dianaslv/eCommerceApp,264052725,https://github.com/dianaslv/eCommerceApp,eCommerceApp,dianaslv,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,mykhalenych/news-spa,262268371,https://github.com/mykhalenych/news-spa,news-spa,mykhalenych,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,StuartMorris0/ReactStarterProject,258839775,https://github.com/StuartMorris0/ReactStarterProject,ReactStarterProject,StuartMorris0,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,open-church/diaconiaonline,254713354,https://github.com/open-church/diaconiaonline,diaconiaonline,open-church,13,1,[],JavaScript,[{'name': 'JavaScript'}],0,False,,,0,[],BSD-2-Clause,
bootstrap-styled/v4,smkamranqadri/bundle-size-test-ui-lib,253008937,https://github.com/smkamranqadri/bundle-size-test-ui-lib,bundle-size-test-ui-lib,smkamranqadri,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,annkettles/recipeboss,187912931,https://github.com/annkettles/recipeboss,recipeboss,annkettles,0,0,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,kimze80/reactjs-origin,252551029,https://github.com/kimze80/reactjs-origin,reactjs-origin,kimze80,0,1,[],HTML,"[{'name': 'HTML'}, {'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,isyviel/cv,251415291,https://github.com/isyviel/cv,cv,isyviel,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
